snum,trial,tname,tvalue,tsuit,tpos,cname,cvalue,csuit,cpos,cf,right,rt,trans,control,visd,visc,memd,memc,lik,free,influence,nlonger,nlongest,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card1f,card2f,card3f,card4f,card5f,card6f,card7f,card8f,card9f,card10f,card11f,card12f,card13f,card14f,card15f,card16f,card17f,card18f,card19f,card20f,card21f,card22f,card23f,card24f,card25f,card26f,card27f,card28f,card29f,card30f,card31f,card32f,card33f,card34f,card35f,card36f,card37f,card38f,card39f,card40f,card41f,card42f,card43f,card44f,card45f,card46f
13,22,AD,1,4,11,7H,7,2,11,7,0,897,3,86,1.267,0.184,0.871,0.12,0.503,0,0,1,1,18,16,48,21,30,38,29,47,22,20,19,26,43,41,12,23,3,17,50,7,39,46,14,5,51,34,1,24,32,36,10,40,4,2,45,35,31,9,27,33,44,8,11,25,15,28,1,1,1,1,1,1,1,1,1,1,7,6,2,5,3,5,2,4,3,4,13,3,7,2,6,6,7,7,5,4,5,3,2,2,6,4,1,1,1,1,1,1,1,1,1,1
13,23,7D,7,4,7,7D,7,4,17,13,1,1096,3,86,1.179,0.234,0.609,0.206,0.392,0,0,1,1,25,7,41,43,50,9,27,40,33,2,26,42,8,47,36,0,45,38,51,37,15,30,22,29,39,3,18,31,46,20,5,1,49,24,13,35,34,17,21,48,14,23,16,32,4,10,1,1,1,1,1,1,1,1,1,1,4,3,5,7,6,2,13,7,6,6,3,2,4,7,2,4,5,6,7,2,5,3,3,2,5,4,1,1,1,1,1,1,1,1,1,1
13,24,3S,3,1,11,3H,3,2,25,7,0,932,3,86,1.137,0.355,0.795,0.35,0.479,0,0,1,1,3,13,30,26,27,12,34,22,7,21,36,19,25,51,40,45,23,17,6,46,2,24,1,48,15,50,43,39,41,20,38,42,32,0,33,11,16,8,31,5,29,9,4,10,44,18,1,1,1,1,1,1,1,1,1,1,7,2,4,5,6,2,3,5,3,4,13,4,7,5,7,6,7,2,2,3,3,6,6,4,5,2,1,1,1,1,1,1,1,1,1,1
13,25,4H,4,2,22,3S,3,1,34,7,0,1072,3,86,1.058,0.327,0.43,0.404,0.472,0,0,1,1,23,51,19,39,3,45,37,28,34,47,49,43,18,44,0,13,21,25,30,9,7,6,8,38,35,22,20,48,1,29,46,16,27,2,33,10,24,32,14,11,36,50,5,4,26,41,1,1,1,1,1,1,1,1,1,1,5,5,3,4,7,3,7,7,2,5,4,3,6,3,4,2,4,2,2,6,6,13,2,7,5,6,1,1,1,1,1,1,1,1,1,1
13,26,2S,2,1,14,2S,2,1,24,13,1,1931,3,86,1.294,0.415,0.645,0.184,0.597,0,0,1,1,12,5,30,33,50,0,24,9,23,31,40,4,36,21,15,47,42,45,48,22,26,18,38,1,44,49,7,51,2,39,46,6,11,37,16,8,29,41,35,20,10,25,28,34,13,14,1,1,1,1,1,1,1,1,1,1,7,3,5,6,2,4,3,6,2,4,7,2,5,13,2,6,5,3,7,2,3,4,6,4,7,5,1,1,1,1,1,1,1,1,1,1
13,27,7S,7,1,18,2H,2,2,29,7,0,1121,3,86,1.146,0.242,0.602,0.542,0.51,0,0,1,1,3,4,20,41,48,17,38,16,18,30,25,8,15,34,13,44,42,39,0,40,2,29,12,11,49,7,46,6,14,23,36,45,47,51,1,28,19,43,26,31,10,27,37,5,24,21,1,1,1,1,1,1,1,1,1,1,3,7,3,5,4,6,7,2,3,2,5,2,4,5,4,6,6,13,7,4,5,2,6,7,2,3,1,1,1,1,1,1,1,1,1,1
13,28,2D,2,4,16,2D,2,4,26,13,1,981,3,86,1.309,0.23,0.584,0.064,0.406,0,0,1,1,44,18,3,4,8,23,9,15,32,12,25,43,30,27,26,22,42,48,47,16,1,51,11,6,13,40,10,38,34,41,5,45,31,24,37,46,19,17,2,7,0,29,20,39,49,50,1,1,1,1,1,1,1,1,1,1,4,7,5,3,6,2,2,6,7,3,3,5,2,4,4,13,5,2,5,7,4,6,2,7,3,6,1,1,1,1,1,1,1,1,1,1
14,1,3D,3,4,13,JS,11,1,NA,NA,0,25788,7,77,1.236,0.014,0.53,0.142,0.378,1,0,1,1,38,9,4,50,30,22,23,18,51,14,31,17,34,24,2,28,45,0,48,46,26,11,41,1,35,19,40,42,39,37,33,29,32,36,6,27,21,44,8,5,25,3,47,16,43,49,1,1,1,1,1,1,1,1,1,1,2,3,5,7,6,4,4,2,5,7,3,6,13,5,4,2,2,2,5,3,6,4,6,3,7,7,1,1,1,1,1,1,1,1,1,1
14,2,5S,5,1,20,KC,13,3,20,4,0,10329,7,77,1.106,0.277,0.396,0.156,0.476,1,0,1,1,18,23,14,27,31,10,36,34,3,46,39,43,51,40,2,47,49,21,12,38,13,11,37,25,15,44,8,32,29,4,22,1,26,7,20,6,9,48,24,45,41,33,16,19,28,5,1,1,1,1,1,1,1,1,1,1,2,6,6,4,4,7,6,2,5,4,3,5,7,3,2,5,2,3,7,13,7,3,2,4,6,5,1,1,1,1,1,1,1,1,1,1
14,3,AC,1,3,11,AS,1,1,NA,NA,1,6144,7,77,1.354,0.21,0.974,0.004,0.573,1,0,1,1,47,19,2,16,9,34,43,23,24,46,30,12,15,7,18,21,45,29,39,14,26,10,37,51,17,40,31,49,28,42,22,11,48,27,32,38,13,8,41,36,33,1,25,3,44,6,1,1,1,1,1,1,1,1,1,1,3,2,5,7,6,3,5,4,4,2,13,4,6,2,5,6,7,7,3,4,2,5,7,6,3,2,1,1,1,1,1,1,1,1,1,1
14,4,2C,2,3,20,2C,2,3,30,13,1,3964,7,77,1.394,0.15,0.705,0.078,0.49,1,0,1,1,21,8,49,18,20,6,47,37,38,45,10,44,51,28,43,15,31,48,36,29,34,14,42,2,7,4,11,0,3,27,26,9,23,16,32,13,30,19,24,41,22,39,25,50,12,5,1,1,1,1,1,1,1,1,1,1,7,2,4,2,7,3,2,4,6,3,6,5,2,7,4,5,3,6,5,13,7,4,3,5,2,6,1,1,1,1,1,1,1,1,1,1
14,5,JD,11,4,9,6D,6,4,12,2,0,4028,7,77,1.287,0.174,0.815,0.004,0.493,1,0,1,1,30,46,38,36,33,24,21,42,20,28,13,44,47,45,25,51,4,1,49,34,8,43,11,14,41,0,31,9,29,32,17,50,37,26,27,12,16,15,7,18,35,2,40,19,6,10,1,1,1,1,1,1,1,1,1,1,4,2,3,5,6,7,2,3,13,7,4,5,2,2,4,5,3,6,7,4,7,5,3,6,6,2,1,1,1,1,1,1,1,1,1,1
14,6,8D,8,4,16,AS,1,1,22,3,0,7368,7,77,1.027,0.046,0.775,0.188,0.42,1,0,1,1,30,12,16,49,28,45,48,3,39,35,22,50,38,44,41,42,21,14,15,36,10,0,11,1,19,46,33,29,18,37,32,8,9,2,25,51,24,40,13,23,43,5,34,17,4,26,1,1,1,1,1,1,1,1,1,1,2,5,7,4,2,2,3,5,3,4,4,3,6,7,6,13,2,5,2,5,4,7,7,6,3,6,1,1,1,1,1,1,1,1,1,1
14,7,5H,5,2,20,6S,6,1,15,5,0,6097,7,77,1.377,0.086,0.756,0.382,0.552,1,0,1,1,33,37,13,42,26,48,22,8,11,3,28,45,30,12,5,35,29,18,9,24,47,15,46,27,10,32,41,50,1,17,0,21,31,7,19,2,38,40,4,36,6,34,49,23,39,16,1,1,1,1,1,1,1,1,1,1,5,4,2,4,5,7,6,6,2,7,3,7,3,2,6,3,4,2,5,13,2,7,6,3,5,4,1,1,1,1,1,1,1,1,1,1
14,8,JS,11,1,7,8H,8,2,7,1,0,9381,7,77,1.253,0.242,0.821,-0.032,0.642,1,0,1,1,35,29,47,37,45,22,20,32,9,5,7,34,38,16,13,23,10,25,51,18,12,6,11,3,27,8,43,44,49,4,31,21,1,30,19,39,14,0,46,17,2,28,33,40,48,42,1,1,1,1,1,1,1,1,1,1,2,5,3,7,4,6,13,2,6,5,2,2,7,7,5,4,5,4,3,6,7,4,3,2,3,6,1,1,1,1,1,1,1,1,1,1
14,9,5C,5,3,9,QH,12,2,34,7,0,5919,7,77,1.318,0.139,0.544,0.272,0.378,1,0,1,1,33,9,35,27,14,31,18,6,39,38,15,23,12,47,32,48,2,3,30,44,26,11,19,8,16,43,36,42,41,49,21,20,28,24,37,50,0,5,51,7,22,45,40,17,1,25,1,1,1,1,1,1,1,1,1,1,7,6,3,2,5,2,4,3,13,4,3,5,6,6,5,5,7,7,4,2,3,2,6,7,4,2,1,1,1,1,1,1,1,1,1,1
14,10,2S,2,1,9,2C,2,3,NA,NA,1,3746,7,77,1.294,0.415,0.645,0.184,0.597,1,0,1,1,24,51,21,20,8,40,31,32,34,42,16,11,15,41,12,43,23,29,1,2,18,19,48,46,35,0,39,28,37,25,26,33,3,14,17,22,4,6,45,7,13,30,9,47,38,44,1,1,1,1,1,1,1,1,1,1,3,5,4,3,2,2,7,6,13,4,5,7,3,7,6,2,4,6,2,5,4,7,2,5,6,3,1,1,1,1,1,1,1,1,1,1
14,11,AD,1,4,20,8H,8,2,1,1,0,4334,7,77,1.267,0.184,0.871,0.12,0.503,1,0,1,1,20,12,17,36,26,45,40,47,35,48,4,43,14,31,49,50,25,10,33,28,23,30,32,18,7,34,37,15,3,39,1,0,27,21,41,19,8,24,38,46,5,51,44,6,29,9,1,1,1,1,1,1,1,1,1,1,3,6,2,2,7,6,5,5,4,3,5,2,3,4,7,2,7,6,4,13,5,7,4,6,3,2,1,1,1,1,1,1,1,1,1,1
14,12,QS,12,1,19,2D,2,4,5,1,0,7426,7,77,1.148,0.256,0.54,0.106,0.597,1,0,1,1,1,6,31,20,40,35,21,8,17,34,12,7,2,42,27,39,0,44,15,14,51,45,33,25,30,10,23,32,11,22,49,4,16,18,50,9,43,28,29,41,26,36,13,38,5,46,1,1,1,1,1,1,1,1,1,1,7,4,3,4,6,7,3,5,2,6,5,6,5,2,4,7,3,2,13,3,2,4,7,2,5,6,1,1,1,1,1,1,1,1,1,1
14,13,3S,3,1,16,10H,10,2,17,3,0,6156,7,77,1.137,0.355,0.795,0.35,0.479,1,0,1,1,49,41,14,50,37,42,13,20,44,24,40,47,26,39,31,32,22,21,51,35,8,36,23,29,7,2,5,3,45,33,27,34,30,4,0,6,46,12,1,16,18,11,48,10,38,9,1,1,1,1,1,1,1,1,1,1,5,4,7,3,7,2,3,3,4,2,5,6,6,2,4,13,3,6,4,2,7,7,5,5,6,2,1,1,1,1,1,1,1,1,1,1
